CMDLINE /opt/anaconda3/bin/python artificialneuralnetwork-profiling.py
MEM 196.734375 1739816315.3525
MEM 196.734375 1739816315.4563
MEM 196.734375 1739816315.5583
FUNC __main__.predict 238.7969 1739816268.4033 238.9844 1739816268.4090 0
FUNC __main__.predict 270.5469 1739816268.7703 270.5469 1739816268.7778 0
FUNC __main__.predict 275.8281 1739816268.7796 275.8281 1739816268.7812 0
FUNC __main__.predict 276.8906 1739816269.0173 277.0625 1739816269.0214 0
FUNC __main__.predict 282.3438 1739816269.0226 282.5625 1739816269.0238 0
FUNC __main__.predict 283.3438 1739816269.1039 283.3438 1739816269.1074 0
FUNC __main__.predict 283.3438 1739816269.1086 283.3438 1739816269.1102 0
FUNC __main__.predict 283.3438 1739816269.1906 283.3438 1739816269.1949 0
FUNC __main__.predict 283.3438 1739816269.1960 283.3438 1739816269.1968 0
FUNC __main__.predict 283.3594 1739816269.2793 283.3594 1739816269.2842 0
FUNC __main__.predict 283.3594 1739816269.2854 283.3594 1739816269.2875 0
FUNC __main__.predict 283.3594 1739816269.3683 283.3594 1739816269.3721 0
FUNC __main__.predict 283.3594 1739816269.3732 283.3594 1739816269.3741 0
FUNC __main__.predict 283.3750 1739816269.6043 283.3750 1739816269.6087 0
FUNC __main__.predict 283.3750 1739816269.6098 283.3750 1739816269.6107 0
FUNC __main__.predict 284.2656 1739816269.7678 284.2656 1739816269.7729 0
FUNC __main__.predict 284.2656 1739816269.7744 284.2656 1739816269.7755 0
FUNC __main__.predict 284.2656 1739816269.9402 284.2656 1739816269.9450 0
FUNC __main__.predict 284.2656 1739816269.9470 284.2656 1739816269.9489 0
FUNC __main__.predict 284.7969 1739816270.2584 284.8125 1739816270.2646 0
FUNC __main__.predict 290.0938 1739816270.2659 290.5781 1739816270.2675 0
FUNC __main__.predict 290.5938 1739816270.4287 290.5938 1739816270.4331 0
FUNC __main__.predict 295.8750 1739816270.4343 295.9219 1739816270.4352 0
FUNC __main__.predict 295.9219 1739816270.5983 295.9219 1739816270.6019 0
FUNC __main__.predict 295.9219 1739816270.6034 295.9219 1739816270.6047 0
FUNC __main__.predict 295.9375 1739816270.7608 295.9375 1739816270.7684 0
FUNC __main__.predict 295.9375 1739816270.7710 295.9375 1739816270.7722 0
FUNC __main__.predict 295.9375 1739816270.9327 295.9375 1739816270.9380 0
FUNC __main__.predict 295.9375 1739816270.9391 295.9375 1739816270.9407 0
FUNC __main__.predict 295.9375 1739816271.1975 295.9375 1739816271.2011 0
FUNC __main__.predict 295.9375 1739816271.2025 295.9375 1739816271.2036 0
FUNC __main__.predict 295.9531 1739816271.4391 295.9531 1739816271.4429 0
FUNC __main__.predict 295.9531 1739816271.4456 295.9531 1739816271.4478 0
FUNC __main__.predict 295.9531 1739816271.6076 295.9531 1739816271.6133 0
FUNC __main__.predict 295.9531 1739816271.6155 295.9531 1739816271.6176 0
FUNC __main__.predict 295.9531 1739816271.7000 295.9531 1739816271.7049 0
FUNC __main__.predict 295.9531 1739816271.7067 295.9531 1739816271.7075 0
FUNC __main__.predict 295.9531 1739816271.7905 295.9531 1739816271.7944 0
FUNC __main__.predict 295.9531 1739816271.7957 295.9531 1739816271.7976 0
FUNC __main__.predict 295.9531 1739816271.9541 295.9531 1739816271.9595 0
FUNC __main__.predict 295.9531 1739816271.9631 295.9531 1739816271.9681 0
FUNC __main__.predict 295.9531 1739816272.2414 295.9531 1739816272.2498 0
FUNC __main__.predict 295.9531 1739816272.2517 295.9531 1739816272.2526 0
FUNC __main__.predict 295.9531 1739816272.3348 295.9531 1739816272.3558 0
FUNC __main__.predict 301.2344 1739816272.3595 301.5625 1739816272.3609 0
FUNC __main__.predict 301.5625 1739816272.5171 301.5625 1739816272.5209 0
FUNC __main__.predict 301.5625 1739816272.5221 301.5625 1739816272.5230 0
FUNC __main__.predict 301.5625 1739816272.6067 301.5625 1739816272.6105 0
FUNC __main__.predict 301.5625 1739816272.6121 301.5625 1739816272.6130 0
FUNC __main__.predict 301.5625 1739816272.7670 301.5625 1739816272.7709 0
FUNC __main__.predict 301.6250 1739816272.7721 301.6250 1739816272.7729 0
FUNC __main__.predict 301.6250 1739816272.9493 301.6250 1739816272.9553 0
FUNC __main__.predict 301.6250 1739816272.9569 301.6250 1739816272.9579 0
FUNC __main__.predict 301.6250 1739816273.1159 301.6250 1739816273.1196 0
FUNC __main__.predict 301.6250 1739816273.1208 301.6250 1739816273.1216 0
FUNC __main__.predict 301.6250 1739816273.2790 301.6250 1739816273.2874 0
FUNC __main__.predict 301.6250 1739816273.2886 301.6250 1739816273.2894 0
FUNC __main__.predict 301.6250 1739816273.4497 301.6250 1739816273.4536 0
FUNC __main__.predict 301.8125 1739816273.4548 301.8750 1739816273.4558 0
FUNC __main__.predict 301.8750 1739816273.6192 301.8750 1739816273.6267 0
FUNC __main__.predict 301.7969 1739816273.6327 301.7188 1739816273.6361 0
FUNC __main__.predict 301.7188 1739816273.7382 301.7188 1739816273.7553 0
FUNC __main__.predict 301.7188 1739816273.7671 301.7188 1739816273.7703 0
FUNC __main__.predict 301.7188 1739816273.9351 301.7188 1739816273.9419 0
FUNC __main__.predict 301.7188 1739816273.9448 301.7188 1739816273.9477 0
FUNC __main__.predict 301.6719 1739816274.2048 301.6719 1739816274.2093 0
